t,x,y,z,yaw,vx,vy,vz,wx,wy,wz,tau_L,tau_R
26.266784799,-3.2932443343223086,2.154128013278435,0.043491729361774555,-1.6890324563094743,-0.00013466039993539406,-0.0008823003718691107,0.003913323230776462,0.03524592447825866,0.0027051631466833747,0.0026765635464213273,0.0,0.0
26.276853388,-3.2932484923509096,2.154126092871843,0.04348425965264241,-1.689081435213329,-0.003594149402472967,-0.0006075242832666294,-0.00645262631032759,0.022113350640694196,-0.16996540922982536,-0.01515905532390579,0.0,0.0
26.287204881,-3.2932445377421486,2.1541251835652404,0.0434912178568373,-1.6891501226996335,0.0005066935341620445,0.0008723879868158628,0.00131620237306529,0.0028823771380588107,0.005923468307813068,0.0014148928817832999,0.0,0.0
26.297037254,-3.2932427888641844,2.1541180066776433,0.04349548876770313,-1.689185213232567,0.0005154438840478601,-0.0008120300311750127,-0.0002988587146459644,-0.0060512435218807795,0.0016757414879891238,-0.003713287288877555,0.0,0.0
26.306969536,-3.293242727409716,2.154117981636861,0.043488800666846315,-1.689183977085697,0.0008314446027620729,0.0006170209332218133,-0.00017256679253289681,-0.003693897275462807,0.08807201178429847,0.0014694695542727073,0.0,0.0
26.317147433,-3.2932426068186884,2.154112466034754,0.04349923883265658,-1.6891958372728937,-0.00015443952722295223,7.977368040517304e-05,0.0004770609034800304,0.0003537826380348876,-0.002712291342527464,0.0018899510098292927,0.0,0.0
26.327103754,-3.2932431905364674,2.154113337965383,0.04349925859873844,-1.6891956284335432,0.00029177314050955945,5.926186385625179e-06,0.00032849079303182605,-0.0016739590781698595,0.005071424937346295,2.5259995383934392e-05,0.0,0.0
26.33709684,-3.293242627873534,2.1541131870359598,0.043499753376142924,-1.689196466318797,0.00016411227025600343,7.96933093142305e-05,0.00014556277376355598,-0.0016547058002498063,0.0025110195500098365,0.0005916707258067553,0.0,0.0
26.34672446,-3.2932434312461125,2.154112678674959,0.043498046550247194,-1.6891956993229815,-0.0006859929036599506,-0.0004062560056473115,-0.0018036339704887118,0.018547051728205657,-0.02544705627285196,-0.000912847613547177,0.0,0.0
26.35681451,-3.2932435860823794,2.154112298996452,0.04349870239789154,-1.6891981980237782,5.636898930599107e-05,-1.9447693023002827e-05,0.00046313369615989987,-0.005560322965724834,0.006551956696142839,-0.0010315822403772403,0.0,0.0
26.366837054,-3.293243152366261,2.154112179252077,0.0434992601621161,-1.6891995115738818,0.0002229752700152624,7.4942291009184e-05,0.0002455492924741978,-0.0026251549596793713,0.004140307954738027,-4.0697632660224224e-05,0.0,0.0
26.3768373,-3.293243030940953,2.1541120199712305,0.04349954109195542,-1.6891965856272015,0.0002284735058532074,6.796217079661192e-05,0.00013444111570203748,-0.0016009669801046607,0.0031357954412274784,3.920878173419083e-05,0.0,0.0
26.387051217,-3.293243776176221,2.1541112465164196,0.04349771685508928,-1.689194723326521,-0.0008324313042833088,-0.000512219326742671,-0.0018808144323469605,0.019137842023640272,-0.03184255264638565,0.000773862735641763,0.0,0.0
